#,Team,W,L,BatterWAR,PitcherWAR,TotalWAR,Wins -WAR
1,Hunters,106,57,44.65,21.01,65.66,40.34
2,Huskies,107,56,41.31,21.28,62.59,44.41
3,Mermen,104,58,45.96,8.60,54.56,49.44
4,Sugar Kings,92,70,30.95,20.66,51.60,40.40
5,Shellbacks,97,65,30.80,19.68,50.48,46.52
6,Blue Wave,95,67,23.78,23.21,47.00,48.00
7,Honu,97,65,31.96,13.79,45.75,51.25
8,Outlaws,91,71,25.55,20.14,45.69,45.31
9,Centurions,85,77,16.74,19.50,36.24,48.76
10,Blucifers,70,92,16.66,18.27,34.93,35.07
11,Surfers,76,86,15.38,15.96,31.35,44.65
12,Homewreckers,74,88,20.26,10.90,31.15,42.85
13,Boazu,64,98,10.29,19.02,29.31,34.69
14,Tigers,73,89,6.80,18.96,25.77,47.23
15,Sun Chasers,67,95,10.72,14.01,24.74,42.26
16,Dragons,69,93,11.55,10.85,22.40,46.60
17,Bedouins,69,93,11.21,9.06,20.27,48.73
18,Red Coats,67,95,11.53,4.28,15.81,51.19
19,Spiders,59,103,6.77,6.91,13.69,45.31
20,Bite,59,103,3.28,9.40,12.67,46.33
