#,Team,W,L,BatterWAR,PitcherWAR,TotalWAR,Wins -WAR
1,Hunters,115,47,37.73,26.83,64.56,50.44
2,Sugar Kings,99,63,38.74,17.64,56.37,42.63
3,Sun Chasers,95,68,29.48,26.55,56.04,38.96
4,Mermen,100,62,36.21,16.88,53.08,46.92
5,Blue Wave,93,69,23.10,25.01,48.11,44.89
6,Shellbacks,94,69,24.59,20.61,45.19,48.81
7,Outlaws,87,76,26.77,16.34,43.12,43.88
8,Bite,85,77,20.68,20.49,41.17,43.83
9,Tigers,88,75,15.41,20.59,36.00,52.00
10,Spiders,70,92,17.69,14.26,31.95,38.05
11,Blucifers,77,85,13.06,18.17,31.23,45.77
12,Huskies,78,84,19.09,9.77,28.85,49.15
13,Honu,81,81,20.80,7.07,27.87,53.13
14,Dragons,75,87,14.47,12.74,27.21,47.79
15,Centurions,65,97,16.46,10.07,26.53,38.47
16,Homewreckers,75,87,11.94,13.85,25.79,49.21
17,Surfers,71,91,7.42,15.19,22.61,48.39
18,Boazu,63,99,12.99,5.83,18.82,44.18
19,Bedouins,64,98,9.36,8.06,17.41,46.59
20,Red Coats,47,115,-1.27,-5.11,-6.39,53.39
