#,Team,W,L,BatterWAR,PitcherWAR,TotalWAR,Wins -WAR
1,Homewreckers,99,63,33.40,19.76,53.16,45.84
2,Shellbacks,89,73,32.72,16.69,49.41,39.59
3,Huskies,94,68,33.25,14.42,47.66,46.34
4,Mermen,92,70,25.49,21.10,46.60,45.40
5,Bite,99,63,25.11,18.52,43.64,55.36
6,Hunters,89,73,24.31,18.26,42.56,46.44
7,Centurions,86,76,16.15,25.40,41.55,44.45
8,Sun Chasers,91,71,26.35,14.97,41.32,49.68
9,Honu,96,66,25.97,14.99,40.96,55.04
10,Boazu,83,79,23.87,14.49,38.35,44.65
11,Bedouins,76,86,17.00,16.48,33.48,42.52
12,Blucifers,78,84,12.25,20.29,32.53,45.47
13,Blue Wave,75,87,14.62,16.47,31.09,43.91
14,Outlaws,84,78,11.72,19.28,31.00,53.00
15,Surfers,75,87,13.93,16.00,29.93,45.07
16,Red Coats,71,91,16.72,11.97,28.70,42.30
17,Spiders,73,89,18.12,8.85,26.96,46.04
18,Sugar Kings,54,108,15.81,2.52,18.33,35.67
19,Dragons,56,106,5.93,11.80,17.72,38.28
20,Tigers,60,102,8.39,7.01,15.40,44.60
