#,Team,W,L,BatterWAR,PitcherWAR,TotalWAR,Wins -WAR
1,Hunters,108,54,46.70,19.25,65.95,42.05
2,Mermen,109,53,47.04,16.23,63.27,45.73
3,Blue Wave,101,61,28.58,23.39,51.97,49.03
4,Huskies,100,62,34.51,17.21,51.71,48.29
5,Shellbacks,100,62,30.99,17.21,48.20,51.80
6,Blucifers,84,78,22.77,19.66,42.43,41.57
7,Outlaws,79,83,27.92,14.21,42.14,36.86
8,Honu,96,66,18.96,18.26,37.22,58.78
9,Sugar Kings,88,74,20.81,15.96,36.77,51.23
10,Sun Chasers,73,89,16.01,18.92,34.93,38.07
11,Surfers,85,77,18.21,16.31,34.52,50.48
12,Tigers,73,89,16.70,17.65,34.34,38.66
13,Homewreckers,72,90,15.93,16.92,32.85,39.15
14,Centurions,80,82,12.64,18.78,31.42,48.58
15,Bite,77,85,7.75,16.13,23.87,53.13
16,Boazu,62,100,7.58,14.70,22.28,39.72
17,Dragons,66,96,9.14,12.15,21.29,44.71
18,Spiders,63,99,8.70,12.35,21.06,41.94
19,Bedouins,60,102,10.67,5.13,15.79,44.21
20,Red Coats,44,118,0.41,-5.00,-4.58,48.58
