#,Team,W,L,BatterWAR,PitcherWAR,TotalWAR,Wins -WAR
1,Huskies,109,53,39.29,25.86,65.14,43.86
2,Mermen,100,62,37.92,19.29,57.21,42.79
3,Blue Wave,101,61,32.25,23.21,55.46,45.54
4,Sugar Kings,94,68,35.55,13.75,49.30,44.70
5,Outlaws,96,66,24.73,22.50,47.23,48.77
6,Dragons,77,85,23.22,17.19,40.40,36.60
7,Spiders,75,87,22.19,14.55,36.75,38.25
8,Bite,87,75,14.73,19.48,34.21,52.79
9,Hunters,80,82,17.52,13.89,31.41,48.59
10,Sun Chasers,83,79,14.20,16.30,30.50,52.50
11,Blucifers,84,78,3.00,26.20,29.19,54.81
12,Homewreckers,71,91,13.85,15.10,28.95,42.05
13,Centurions,73,89,9.14,18.41,27.55,45.45
14,Tigers,70,92,12.39,10.31,22.70,47.30
15,Surfers,79,83,9.43,13.12,22.56,56.44
16,Shellbacks,59,103,8.30,9.50,17.79,41.21
17,Honu,62,100,8.80,-0.59,8.21,53.79
18,Boazu,58,104,3.99,1.90,5.90,52.10
