#,Team,W,L,BatterWAR,PitcherWAR,TotalWAR,Wins -WAR
1,Centurions,96,66,29.03,22.75,51.78,44.22
2,Huskies,95,67,36.42,14.77,51.18,43.82
3,Mermen,101,61,35.80,14.27,50.07,50.93
4,Hunters,99,63,30.78,15.60,46.38,52.62
5,Shellbacks,98,64,30.85,14.81,45.66,52.34
6,Boazu,98,64,23.68,20.49,44.17,53.83
7,Homewreckers,81,81,25.34,18.08,43.43,37.57
8,Bedouins,80,83,18.12,23.25,41.37,38.63
9,Sun Chasers,97,65,23.02,15.50,38.51,58.49
10,Blucifers,82,80,13.13,22.20,35.33,46.67
11,Blue Wave,73,89,16.74,17.57,34.31,38.69
12,Bite,82,80,15.21,19.05,34.26,47.74
13,Red Coats,79,84,24.61,8.89,33.50,45.50
14,Outlaws,81,81,8.57,17.84,26.40,54.60
15,Surfers,71,91,10.35,12.63,22.98,48.02
16,Honu,63,99,18.47,4.03,22.50,40.50
17,Spiders,60,102,6.06,12.81,18.86,41.14
18,Tigers,68,94,4.40,10.67,15.07,52.93
19,Dragons,62,100,5.77,8.16,13.93,48.07
20,Sugar Kings,55,107,6.46,-0.34,6.12,48.88
