ID,POS,Name,Age,OVR,POT,LEA,LOY,AD,FIN,WE,INT,Type,CON P,GAP P,POW P,EYE P,K P,SPE,STE,RUN,Draft,Round,Pick
8399,SP,J.D. Autry,21,1.5 Stars,2.0 Stars,N,N,N,L,H,N,Outspoken,50,35,30,30,45,30,20,30,2007,3,16
9972,SP,BILL DOUGHERTY,24,3.0 Stars,3.0 Stars,N,N,H,N,H,N,Normal,45,40,55,55,45,35,35,40,2008,6,1
9744,SP,ARTURO MENDEZ,19,0.5 Stars,2.5 Stars,N,H,H,L,H,N,Unknown,55,35,35,40,50,20,20,25,2010,2,4
8702,SP,Joe Simon,21,2.5 Stars,2.5 Stars,N,H,N,N,N,N,Normal,65,55,40,40,80,50,55,50,2007,3,7
9077,RP,MIKE ALSOP,20,1.5 Stars,2.0 Stars,H,N,L,L,H,N,Unknown,55,40,30,30,50,20,20,25,2008,8,3
7768,RP,Rafael Cervantes,24,2.5 Stars,2.5 Stars,N,N,N,N,N,L,Outspoken,55,40,30,30,50,25,25,20,0,0,0
6996,RP,Wayne Grasso,25,3.0 Stars,3.0 Stars,N,N,H,N,N,L,Outspoken,50,50,45,55,50,65,70,65,2003,2,6
9045,RP,BRENDAN MUNTEAN,20,1.0 Stars,2.5 Stars,N,N,N,N,N,N,Unknown,55,50,45,50,55,40,35,40,2008,8,16
5247,RP,John Norman,31,3.0 Stars,3.0 Stars,N,H,H,L,H,N,Fan Fav,50,45,45,45,55,60,55,65,0,19,14
6764,RP,MARK POE,26,2.5 Stars,2.5 Stars,N,N,N,N,H,N,Normal,50,50,35,35,55,35,35,40,2003,9,4
8897,CL,Ayuta Kawata,21,2.0 Stars,2.0 Stars,N,N,H,N,N,N,Normal,50,35,30,35,45,20,20,20,0,0,0
9406,C,ELLIOT ABBOTT,21,0.5 Stars,1.5 Stars,N,L,H,L,H,N,Unknown,40,45,45,40,30,30,25,30,2008,11,7
