ID,POS,Name,Age,T,OVR,POT,LEA,LOY,AD,FIN,WE,INT,Type,STU P,CON P,HRR P,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,STM,Draft,Round,Pick
13253,SP,Mitsuru Kimura,23,L,0.5 Stars,1.5 Stars,N,N,N,N,N,N,Unknown,40,40,45,45,50,40,45,45,-,-,-,-,-,-,-,60,2017,12,20
13286,RP,Jordan van den Berg,22,R,1.5 Stars,2.0 Stars,H,N,L,N,N,N,Unknown,50,50,45,45,45,-,-,55,-,55,-,-,-,-,-,35,2017,12,18
13029,SP,Ernst Mahoney,18,L,0.5 Stars,2.0 Stars,N,N,L,H,N,L,Unknown,55,45,50,50,65,-,40,-,-,-,-,-,-,-,-,55,2017,12,17
13069,RP,Chris Stewart,18,R,0.5 Stars,2.0 Stars,H,N,N,H,N,N,Unknown,50,50,25,55,50,55,-,45,-,-,-,-,-,-,-,65,2017,12,16
10953,RP,JOHN GONZALEZ,21,L,1.0 Stars,1.5 Stars,N,N,N,N,N,N,Unknown,60,45,35,65,55,-,60,-,-,-,-,-,-,-,-,35,2017,12,10
10984,SP,MAYUMI SHIMOMURA,21,L,0.5 Stars,0.5 Stars,N,H,N,L,H,N,Unknown,50,35,30,60,-,70,-,-,-,-,-,-,-,65,-,75,2017,12,9
13837,RP,Borisav Srskic,21,R,1.5 Stars,1.5 Stars,N,N,L,N,L,N,Unknown,55,35,40,55,60,-,65,-,-,50,-,-,-,-,-,50,2017,12,7
13027,RP,Sadaqat Mahdi,19,R,1.0 Stars,2.0 Stars,N,N,N,N,N,N,Unknown,45,40,60,50,-,-,50,-,-,-,-,-,-,-,-,25,2017,12,4
13245,SP,Gennaro Ferraro,22,R,0.5 Stars,1.0 Stars,N,N,N,L,H,N,Unknown,45,40,40,45,45,-,50,50,-,-,-,-,-,-,-,45,2017,12,3
13836,RP,Ben Johnson,22,R,1.5 Stars,2.0 Stars,N,N,H,N,N,N,Unknown,50,45,50,50,-,-,50,-,-,55,-,-,-,-,-,35,2017,12,1
